Zona,Area,Qualidade,AnoConstrucao,QualidadeAquecimento,Banheiros,Quartos_t1,Quartos_t2,Comodos,Lareiras,Garagem,Preco,DecadaConstrucao,preco/m2,cluster
RL,9947,7,1990,Ex,2,3,4,6,0,2,173000,90,17.39,1
RL,10357,7,1990,Gd,2,3,4,6,1,2,179900,90,17.37,1
RM,4500,6,1998,Ex,2,2,3,5,0,2,162000,90,36.0,3
RL,2887,6,1996,Ex,1,2,3,6,1,2,173000,90,59.92,3
RL,9525,5,1995,Ex,1,3,4,6,0,1,144000,90,15.12,5
RL,10784,7,1991,Gd,2,3,4,7,1,2,160000,90,14.84,5
RL,7500,7,1999,Gd,2,3,4,7,1,2,189000,90,25.2,1
RL,9245,5,1994,Ex,1,3,4,5,0,2,145000,90,15.68,5
RL,8000,6,1995,Gd,2,3,4,8,1,2,188000,90,23.5,1
RL,8924,7,1998,Ex,2,3,4,8,0,2,188000,90,21.07,1
RL,8530,7,1995,Gd,2,3,4,7,1,2,168500,90,19.75,1
RL,9179,7,1999,Ex,2,3,4,7,0,2,193000,90,21.03,1
RM,4500,6,1999,Ex,2,2,3,5,0,2,165000,90,36.67,3
RL,8125,6,1994,Ex,2,3,4,7,1,2,193500,90,23.82,1
RL,9382,7,1999,Ex,2,3,4,6,0,2,191000,90,20.36,1
RL,7685,6,1993,Gd,2,3,4,6,1,2,165600,90,21.55,1
RL,9765,6,1993,Gd,2,3,4,6,1,2,185000,90,18.95,1
RL,8125,6,1994,Gd,2,3,4,6,1,2,174000,90,21.42,1
RL,9084,7,1998,Gd,2,3,4,8,1,2,176500,90,19.43,1
RL,10186,7,1992,Ex,2,3,4,8,1,2,190000,90,18.65,1
RL,9017,7,1999,Ex,2,3,4,6,0,2,192000,90,21.29,1
RL,9125,7,1992,Gd,2,3,4,7,1,2,163900,90,17.96,5
RL,8049,7,1990,TA,2,2,3,6,1,2,180000,90,22.36,1
RL,9453,7,1993,Ex,2,3,4,7,0,2,194500,90,20.58,1
RL,10839,6,1997,Ex,2,3,4,7,1,2,181000,90,16.7,1
RL,11207,6,1997,Gd,2,3,4,8,1,2,185000,90,16.51,1
RL,9291,6,1993,Ex,2,3,4,7,0,2,187000,90,20.13,1
RL,10364,6,1995,Gd,2,3,4,7,1,2,168000,90,16.21,1
RL,13568,5,1995,Ex,1,3,4,5,0,2,156000,90,11.5,2
RL,8773,6,1997,Gd,2,3,4,7,1,2,169000,90,19.26,1
RM,4500,6,1998,Ex,2,2,3,5,0,2,164000,90,36.44,3
RL,11851,7,1990,Ex,2,3,4,5,0,2,180500,90,15.23,1
RL,7153,6,1992,Ex,2,3,4,7,0,2,175900,90,24.59,1
RL,8072,5,1994,Ex,1,3,4,5,0,2,138000,90,17.1,5
RL,7153,6,1991,Gd,2,3,4,6,0,2,179200,90,25.05,1
RL,7875,7,1995,Gd,2,3,4,6,1,2,176000,90,22.35,1
RL,8012,6,1992,Gd,2,2,3,5,0,2,179200,90,22.37,1
RL,8070,4,1994,Ex,1,3,4,5,0,0,123600,90,15.32,0
RL,7892,6,1993,Ex,2,2,3,5,0,2,153900,90,19.5,5
RL,10832,7,1994,Ex,2,3,4,7,1,2,194500,90,17.96,1
RL,10400,7,1998,Ex,2,3,4,6,0,2,197900,90,19.03,1
RL,12464,5,1996,Gd,1,3,4,6,0,2,152000,90,12.2,2
RL,5395,8,1993,Gd,2,2,3,5,1,2,180000,90,33.36,3
RL,13758,7,1990,Ex,2,3,4,7,1,2,187500,90,13.63,2
RL,10859,5,1994,Ex,1,3,4,6,0,2,145000,90,13.35,5
RL,13031,6,1995,Gd,2,3,4,6,1,2,187500,90,14.39,1
RL,13869,6,1997,Gd,2,3,4,6,0,2,177000,90,12.76,2
RL,9636,6,1992,Gd,2,3,4,7,1,2,178000,90,18.47,1
RL,8750,7,1996,Ex,2,2,3,7,1,2,191000,90,21.83,1
RL,8012,6,1993,Ex,2,2,3,5,1,2,193000,90,24.09,1
RL,11841,6,1990,TA,1,3,4,5,0,0,118500,90,10.01,0
RL,11218,6,1992,Ex,2,3,4,8,1,2,189000,90,16.85,1
RL,9069,6,1992,Ex,1,2,3,5,0,2,147000,90,16.21,5
RL,7917,6,1999,Ex,2,3,4,7,1,2,175000,90,22.1,1
RL,11249,6,1995,Ex,2,3,4,6,0,2,177500,90,15.78,1
RL,8775,5,1994,Gd,1,3,4,5,0,1,126000,90,14.36,0
RL,9248,6,1992,Gd,2,3,4,6,0,2,173000,90,18.71,1
RL,8846,5,1996,Ex,1,2,3,5,0,2,148000,90,16.73,5
RL,9042,6,1998,Gd,2,3,4,7,2,2,192000,90,21.23,1
RM,4500,6,1998,Ex,2,2,3,5,0,2,153500,90,34.11,3
RL,14115,5,1993,Ex,1,1,2,5,0,2,143000,90,10.13,2
RL,7837,6,1993,Gd,2,3,4,7,1,2,178000,90,22.71,1
RL,10141,7,1998,Gd,2,3,4,7,1,2,185000,90,18.24,1
RM,1950,6,1980,TA,2,3,4,6,1,2,151000,80,77.44,3
RL,10762,6,1980,TA,1,3,4,6,1,1,120000,80,11.15,0
RL,8314,5,1982,TA,1,2,3,5,0,1,124500,80,14.97,0
RL,8400,6,1980,TA,2,3,4,7,1,2,171000,80,20.36,1
RL,11200,6,1985,TA,2,3,4,5,1,2,180000,80,16.07,1
RL,5271,7,1986,Gd,1,2,3,6,1,2,190000,80,36.05,1
RM,1300,6,1980,TA,1,2,3,5,1,2,124000,80,95.38,4
RM,7200,5,1980,TA,1,2,3,4,0,2,140000,80,19.44,5
RL,4671,8,1988,Gd,2,2,3,5,1,2,189000,80,40.46,3
RL,12090,6,1981,TA,2,3,4,7,1,2,175500,80,14.52,1
RL,8885,5,1983,TA,1,2,3,5,0,2,131000,80,14.74,0
RL,13811,6,1987,Gd,2,2,3,5,1,2,176000,80,12.74,2
RL,9180,5,1983,Gd,1,2,3,5,0,2,144000,80,15.69,5
RL,3696,8,1986,Ex,1,2,3,5,0,2,170000,80,46.0,3
RL,9187,6,1983,TA,1,3,4,5,0,2,134000,80,14.59,5
RL,8740,5,1982,TA,1,2,3,4,0,2,137000,80,15.68,5
RL,9206,6,1985,TA,2,3,4,7,1,2,178000,80,19.34,1
RL,10421,7,1988,TA,2,3,4,7,1,2,196500,80,18.86,1
RL,14115,7,1980,TA,2,3,4,6,2,2,187500,80,13.28,2
RL,7599,4,1982,TA,1,2,3,4,0,2,129500,80,17.04,0
RL,5814,8,1984,Gd,1,1,2,4,1,2,187500,80,32.25,1
RL,11457,6,1988,TA,2,3,4,6,1,2,175000,80,15.27,1
RL,7175,6,1984,TA,1,2,3,4,0,1,125000,80,17.42,0
RL,10200,6,1988,Ex,2,3,4,5,1,2,175000,80,17.16,1
RL,12546,6,1981,Ex,2,3,4,7,1,2,182900,80,14.58,1
RL,7252,5,1982,TA,1,2,3,5,0,2,134900,80,18.6,0
RL,7937,6,1984,TA,1,3,4,6,0,2,142500,80,17.95,5
RL,8012,6,1980,TA,2,2,3,5,1,1,143000,80,17.85,5
RL,6951,5,1984,TA,1,3,4,5,0,1,119500,80,17.19,0
RL,11120,6,1984,TA,2,3,4,6,0,2,162500,80,14.61,5
RL,6600,5,1982,Ex,1,2,3,4,0,2,138000,80,20.91,0
RL,6600,5,1982,Ex,1,3,4,5,1,1,130500,80,19.77,0
RL,9672,6,1984,TA,2,3,4,6,0,2,152000,80,15.72,5
RL,8780,5,1985,Ex,1,3,4,5,0,0,112000,80,12.76,0
RL,12416,6,1986,TA,2,3,4,7,1,2,184000,80,14.82,1
RL,2280,6,1978,Fa,2,3,4,7,1,2,146000,70,64.04,3
RL,10140,6,1974,TA,2,3,4,7,1,2,165000,70,16.27,1
RL,10000,5,1973,Gd,1,3,4,5,1,2,157000,70,15.7,5
RL,16157,5,1978,Ex,1,2,3,5,1,2,194000,70,12.01,2
RL,9991,4,1976,Ex,2,3,4,8,1,2,150000,70,15.01,5
RL,7700,5,1972,TA,1,3,4,5,0,2,112500,70,14.61,0
RL,9353,4,1970,Gd,1,3,4,5,0,1,116050,70,12.41,0
RL,7844,6,1978,TA,1,3,4,6,1,2,149500,70,19.06,5
RL,8120,4,1970,Ex,1,3,4,5,0,2,124500,70,15.33,0
RL,7200,6,1976,Ex,1,3,4,6,1,1,125000,70,17.36,0
RL,10140,5,1975,Ex,1,3,4,6,0,2,153500,70,15.14,5
RL,7200,5,1972,TA,1,2,3,6,0,2,123000,70,17.08,0
RL,6960,4,1970,TA,1,3,4,5,0,2,120500,70,17.31,0
