District;Area;Quality;Year;HeatingQuality;Bathrooms;Bedrooms_A;Bedrooms_B;Rooms;Fireplace;Garage;Price
RL;11200;5;1965;Ex;1;3;4;5;0;1;129500
RM;1920;5;1971;Ex;1;2;3;6;0;2;122500
RL;10839;6;1997;Ex;2;3;4;7;1;2;181000
RM;1890;4;1972;Gd;1;1;2;3;0;0;81000
RL;3922;7;2006;Ex;2;2;3;6;1;3;172500
RL;9855;6;1956;Fa;1;3;4;7;1;2;127500
RL;16492;6;1966;Ex;2;2;3;6;1;2;190000
RL;9600;7;1973;Fa;1;3;4;6;1;2;175500
RL;7015;5;1950;TA;1;3;4;5;1;1;110000
RL;8430;5;1978;TA;2;3;4;5;0;0;124000
RM;3072;7;2004;Ex;2;2;3;6;1;2;178740
RL;10628;7;1970;TA;1;2;3;5;1;2;167000
RL;9480;5;1942;Ex;1;3;4;7;2;1;146500
RL;9291;6;1993;Ex;2;3;4;7;0;2;187000
RL;11952;7;1977;TA;2;3;4;8;1;2;190000
RM;3675;6;2005;Ex;1;2;3;5;0;2;148000
RL;8480;5;1963;TA;1;2;3;5;0;2;132500
RM;4500;6;1998;Ex;2;2;3;5;0;2;164000
RL;7758;5;1962;Gd;1;3;4;6;0;1;132500
RL;9600;5;1950;Gd;1;3;4;5;1;1;147000
RL;10289;5;1965;TA;1;3;4;6;0;2;156000
RL;12243;5;1971;Gd;2;3;4;7;1;2;175000
RM;1526;4;1970;TA;1;1;2;3;0;1;86000
RM;2665;5;1976;TA;1;3;4;4;1;1;115000
RL;9490;6;1941;TA;1;3;4;5;2;1;133000
RL;15578;6;2006;Gd;2;3;4;8;0;2;172785
RL;7931;5;1960;TA;1;3;4;6;1;1;155000
RL;7800;5;1967;Ex;1;3;4;5;0;1;130000
RL;7535;5;1958;Fa;1;2;3;5;0;1;120000
RM;1890;6;1973;TA;1;3;4;7;0;1;113000
RL;9170;5;1965;Ex;1;2;3;6;0;2;140000
RL;2308;6;1974;TA;2;3;4;6;1;2;147000
RL;9600;5;1959;Ex;1;3;4;6;0;1;124500
RL;14559;5;1951;Ex;1;2;3;6;2;1;164900
RL;9100;5;1958;TA;1;3;4;5;0;2;129900
RL;9187;6;1983;TA;1;3;4;5;0;2;134000
RL;10448;6;1972;TA;2;3;4;7;1;2;158000
RL;11988;6;1957;Ex;1;3;4;6;2;1;150000
RM;5000;6;1947;Ex;2;3;4;7;2;2;159000
RL;13300;5;1956;TA;1;2;3;4;0;1;132000
RL;10200;6;1988;Ex;2;3;4;5;1;2;175000
RL;7200;5;1955;Ex;1;2;3;5;1;1;107500
RL;9056;8;2004;Ex;2;3;4;6;1;2;178000
RL;8924;7;1998;Ex;2;3;4;8;0;2;188000
RL;12735;4;1972;TA;1;3;4;5;0;2;111250
RL;11553;5;1968;TA;1;3;4;7;1;1;158000
RL;17104;7;2006;Ex;2;3;4;7;1;2;179665
RL;7244;5;1970;Ex;1;2;3;5;0;2;129500
RM;8235;5;1955;TA;1;2;3;4;0;2;125000
RL;4043;6;1977;TA;2;2;3;4;0;2;140000
RM;6000;5;1957;Gd;1;3;4;5;0;1;112500
RL;8777;4;1949;Ex;2;2;3;5;0;2;108000
RL;14850;5;1957;TA;1;2;3;6;1;1;141000
RL;11341;5;1957;TA;1;3;4;5;1;2;121500
RL;10010;5;1974;Gd;1;2;3;6;1;2;170000
RL;13907;5;1940;Ex;1;3;4;6;1;0;108000
RL;7032;5;1979;TA;1;2;3;4;2;2;135960
RL;7332;6;1959;Ex;1;2;3;4;0;1;120000
RL;9967;7;2000;Ex;2;3;4;8;1;2;170000
RL;10500;5;1971;TA;1;3;4;5;0;1;139000
RL;8480;5;1947;TA;1;2;3;6;0;1;118500
RL;11777;5;1966;Ex;1;3;4;6;2;2;164500
RL;14585;6;1960;Ex;1;3;4;7;2;2;181900
RL;11841;6;1990;TA;1;3;4;5;0;0;118500
RL;8740;5;1982;TA;1;2;3;4;0;2;137000
RL;8320;7;2004;Ex;2;3;4;6;0;2;185900
RL;6600;5;1982;Ex;1;2;3;4;0;2;138000
RM;4435;6;2003;Ex;1;1;2;4;0;2;140000
RL;7990;5;1975;TA;1;3;4;5;0;1;110000
RM;1950;6;1980;TA;2;3;4;6;1;2;151000
RL;12464;5;1996;Gd;1;3;4;6;0;2;152000
RL;7943;4;1961;Gd;1;3;4;5;0;1;118500
RL;10395;6;1978;TA;2;3;4;6;1;2;148000
RL;8402;5;2007;Ex;1;3;4;6;0;0;147000
RL;8800;6;1963;Ex;1;3;4;6;0;2;137500
RL;7861;6;2002;Ex;2;3;4;7;1;2;183200
RL;7227;6;1954;Gd;1;2;3;4;0;2;105500
RL;7064;5;1977;TA;1;3;4;6;0;2;135000
